Time (s),Potential (V),Current (μA),C_O at electrode (mM),C_R at electrode (mM)
5.600000000000004,-0.2199999999999998,72.81217306130824,0.0003022854272329043,1.5771757355582898
5.640000000000004,-0.2179999999999998,72.5414900392006,0.0003267078261955406,1.5771616345471282
5.680000000000004,-0.2159999999999998,72.27275388504933,0.00035310524826607256,1.5771463931965903
5.720000000000004,-0.2139999999999998,72.00584914328259,0.000381637442883434,1.5771299192705035
5.760000000000004,-0.2119999999999998,71.74065616389281,0.00041247707618311994,1.577112113074849
5.800000000000004,-0.2099999999999998,71.47705063028566,0.0004458107742640904,1.5770928668554025
5.840000000000004,-0.2079999999999998,71.21490305357062,0.00048184025051711794,1.577072064146834
5.880000000000004,-0.2059999999999998,70.95407823039044,0.0005207835237533529,1.5770495790693881
5.920000000000004,-0.2039999999999998,70.69443466130708,0.0005628762344062538,1.577025275568932
5.960000000000004,-0.2019999999999998,70.43582392635996,0.0006083730666558089,1.5769990065958512
6.000000000000004,-0.19999999999999973,70.17809001431466,0.0006575492849441309,1.5769706132178951
6.0400000000000045,-0.19799999999999973,69.92106860167604,0.0007107023940193611,1.5769399236617012
6.0800000000000045,-0.19599999999999973,69.66458627748173,0.0007681539323637584,1.5769067522773046
6.1200000000000045,-0.19399999999999973,69.40845970929036,0.0008302514096354205,1.576870898419499
6.160000000000005,-0.19199999999999973,69.15249474569437,0.0008973703995853604,1.5768321452394267
6.200000000000005,-0.18999999999999972,68.8964854502596,0.0009699168008064259,1.5767902583792688
6.240000000000005,-0.18799999999999972,68.64021306125069,0.0010483292786322997,1.5767449845623402
6.280000000000005,-0.18599999999999972,68.38344487131126,0.0011330819025379408,1.5766960500703082
6.320000000000005,-0.18399999999999972,68.12593302069163,0.0012246869945020092,1.576643159098605
6.360000000000005,-0.18199999999999972,67.86741319716178,0.0013236982049820345,1.5765859919804206
6.400000000000005,-0.17999999999999972,67.6076032352517,0.0014307138344293855,1.5765242032689284
6.440000000000005,-0.17799999999999971,67.34620160695914,0.0015463804196386634,1.5764574196665972
6.480000000000005,-0.1759999999999997,67.08288579529523,0.0016713966056905757,1.5763852377896117
6.520000000000005,-0.1739999999999997,66.8173105417966,0.001806517325813884,1.576307221754502
6.560000000000005,-0.1719999999999997,66.54910595798209,0.0019525583131664794,1.5762229005731352
6.600000000000005,-0.1699999999999997,66.2778754905305,0.0021104009703234563,1.57613176534117
6.640000000000005,-0.1679999999999997,66.0031937288448,0.002280997624166717,1.5760332662039904
6.680000000000005,-0.1659999999999997,65.72460404303231,0.002465377195901632,1.5759268090829548
6.720000000000005,-0.1639999999999997,65.4416160395132,0.002664651318086574,1.5758117521435464
6.760000000000005,-0.1619999999999997,65.15370282078051,0.0028800209328553655,1.5756874019856963
6.800000000000005,-0.1599999999999997,64.86029803420747,0.003112783407945148,1.5755530095351347
6.840000000000005,-0.1579999999999997,64.56079269512006,0.0033643402097160713,1.575407765613147
6.880000000000005,-0.1559999999999997,64.25453176676743,0.003636205175066833,1.5752507961605426
6.920000000000005,-0.1539999999999997,63.94081048048682,0.003930013427012865,1.5750811570899836
6.960000000000005,-0.1519999999999997,63.6188703766601,0.004247530981700797,1.5748978287390967
7.000000000000005,-0.1499999999999997,63.287895047234755,0.004590665097781766,1.5746997098949609
7.040000000000005,-0.1479999999999997,62.94700555900068,0.004961475422351743,1.5744856113586772
7.080000000000005,-0.14599999999999969,62.59525553506091,0.005362185991081311,1.5742542490167482
7.120000000000005,-0.14399999999999968,62.23162587237596,0.005795198143688782,1.5740042363839584
7.1600000000000055,-0.14199999999999968,61.85501907030242,0.006263104419542748,1.5737340765803522
7.2000000000000055,-0.13999999999999968,61.46425314531403,0.006768703501891576,1.573442153702758
7.2400000000000055,-0.13799999999999968,61.05805510547359,0.007315016282980541,1.57312672354914
7.280000000000006,-0.13599999999999968,60.63505395755416,0.00790530312609655,1.5727859036518708
7.320000000000006,-0.13399999999999967,60.193773218396174,0.00854308240433134,1.5724176625738604
7.360000000000006,-0.13199999999999967,59.732622902073516,0.009232150399522677,1.5720198084193526
7.400000000000006,-0.12999999999999967,59.249890953410485,0.009976602648351129,1.5715899765091683
7.440000000000006,-0.12799999999999967,58.7437340984587,0.010780856825857391,1.5711256161682863
7.480000000000006,-0.12599999999999967,58.21216808226186,0.01164967725960273,1.57062397657193
7.520000000000006,-0.12399999999999967,57.65305726566862,0.012588201170205678,1.5700820915948972
7.560000000000006,-0.12199999999999966,57.06410355201707,0.013601966735911627,1.5694967636077393
7.600000000000006,-0.11999999999999966,56.44283461819616,0.01469694308002299,1.5688645461627413
7.640000000000006,-0.11799999999999966,55.78659142551335,0.01587956228023898,1.56818172551251
7.680000000000006,-0.11599999999999966,55.092514988998424,0.017156753497999156,1.5674443009045373
7.720000000000006,-0.11399999999999966,54.35753238792346,0.018535979323522488,1.566647963596495
7.760000000000006,-0.11199999999999966,53.5783420059437,0.020025274428075175,1.5657880745394117
7.800000000000006,-0.10999999999999965,52.75139799512801,0.021633286608723493,1.5648596406795159
7.840000000000006,-0.10799999999999965,51.8728939673071,0.023369320302016997,1.563857289834607
7.880000000000006,-0.10599999999999965,50.9387459248706,0.025243382631226965,1.5627752441076566
7.920000000000006,-0.10399999999999965,49.944574457230665,0.027266232036390187,1.5616072918092023
7.960000000000006,-0.10199999999999965,48.885686242639984,0.029449429516860155,1.5603467578714003
8.000000000000005,-0.0999999999999997,47.757054913235834,0.031805392491650784,1.5589864727506921
8.040000000000004,-0.09799999999999975,46.55330136215016,0.03434745125278733,1.557518739833407
8.080000000000004,-0.09599999999999981,45.268673596619,0.037089907950278396,1.5559353013797572
8.120000000000003,-0.09399999999999986,43.897026269223375,0.04004809800323162,1.5542273030671423
8.160000000000002,-0.09199999999999986,42.43180005420816,0.043238453778982,1.5523852572240766
8.200000000000001,-0.08999999999999991,40.86600107385265,0.04667857031973734,1.5503990048820724
8.24,-0.08799999999999997,39.19218062531242,0.050387272822927126,1.5482576768151386
8.28,-0.08600000000000002,37.40241550942116,0.05438468549584348,1.5459496537859847
8.319999999999999,-0.08400000000000007,35.488289321482696,0.05869230130592431,1.5434625262753165
8.359999999999998,-0.08200000000000007,33.44087512875626,0.06333305203372812,1.5407830540366103
8.399999999999997,-0.08000000000000013,31.250720033947925,0.06833137790490112,1.5378971258942469
8.439999999999996,-0.07800000000000018,28.907832204869045,0.07371329592889919,1.5347897202886496
8.479999999999995,-0.07600000000000023,26.401671040725272,0.07950646590468341,1.5314448671688143
8.519999999999994,-0.07400000000000029,23.721141243353152,0.08574025286607934,1.5278456119408899
8.559999999999993,-0.07200000000000029,20.854591666806304,0.09244578453129497,1.5239739823016871
8.599999999999993,-0.07000000000000034,17.789819933579032,0.09965600209203304,1.5198109589182403
8.639999999999992,-0.0680000000000004,14.514083920052217,0.10740570242814257,1.5153364510586043
8.67999999999999,-0.06600000000000045,11.014121340361875,0.11573156956506256,1.510529278434202
8.71999999999999,-0.0640000000000005,7.276178774598128,0.12467219290575819,1.5053671606789136
8.75999999999999,-0.0620000000000005,3.2860516123580434,0.13426806947003936,1.499826716062616
8.799999999999988,-0.06000000000000055,-0.9708635122393952,0.14456158706734817,1.4938834712140217
8.839999999999987,-0.05800000000000061,-5.509502115882793,0.15559698502149433,1.4875118838052617
8.879999999999987,-0.05600000000000066,-10.345049340011109,0.16742028876684711,1.4806853803232676
8.919999999999986,-0.054000000000000714,-15.492839708254918,0.18007921435725893,1.4733764112136296
8.959999999999985,-0.05200000000000071,-20.968237368351573,0.1936230386864645,1.4655565258226317
8.999999999999984,-0.050000000000000766,-26.786495068624014,0.20810243103006304,1.457196469672038
9.039999999999983,-0.04800000000000082,-32.9625902414976,0.2235692414059817,1.4482663066665489
9.079999999999982,-0.046000000000000874,-39.5110367650223,0.24007624123740007,1.4387355688412513
9.119999999999981,-0.04400000000000093,-46.4456712761955,0.25767681191763675,1.428573436189653
9.15999999999998,-0.042000000000000925,-53.77941332368478,0.2764245771512175,1.417748948954206
9.19999999999998,-0.04000000000000098,-61.5239991980925,0.29637297541206753,1.406231254491692
9.239999999999979,-0.03800000000000103,-69.6896899627214,0.31757476955193714,1.393989890426127
9.279999999999978,-0.03600000000000109,-78.2849550622957,0.340081491542199,1.3809951052532417
9.319999999999977,-0.03400000000000114,-87.3161338833066,0.3639428215692394,1.367218216846244
9.359999999999976,-0.03200000000000114,-96.78707880661558,0.38920590225075363,1.3526320084192374
9.399999999999975,-0.030000000000001192,-106.69878460088171,0.41591459061086855,1.3372111604245425
9.439999999999975,-0.028000000000001246,-117.04901042761051,0.4441086526462622,1.3209327155931831
9.479999999999974,-0.0260000000000013,-127.83190224222469,0.47382290781592795,1.303776572884033
9.519999999999973,-0.024000000000001354,-139.03762490662237,0.5050863335550084,1.2857260045090253
9.559999999999972,-0.022000000000001352,-150.65201482600904,0.5379211428837912,1.266768188486641
9.599999999999971,-0.020000000000001406,-162.6562652746432,0.5723418512639394,1.2468947473970333
9.63999999999997,-0.01800000000000146,-175.02665770460618,0.6083543519230381,1.226102282240262
9.67999999999997,-0.016000000000001513,-187.7343530986863,0.6459550217741052,1.2043928886216473
9.719999999999969,-0.014000000000001567,-200.74525773011632,0.6851298826217421,1.181774641007468
9.759999999999968,-0.012000000000001565,-214.0199774124275,0.7258538443743646,1.1582620296237163
9.799999999999967,-0.010000000000001619,-227.5138733350381,0.7680900582664388,1.1338763338293176
9.839999999999966,-0.008000000000001672,-241.17723083767652,0.8117894084335393,1.1086459155999495
9.879999999999965,-0.006000000000001726,-254.9555499076812,0.8568901693940657,1.0826064172145575
9.919999999999964,-0.00400000000000178,-268.7899628174447,0.9033178549308805,1.055800848426853
9.959999999999964,-0.002000000000001778,-282.61778019975793,0.9509852804472074,1.0282795503785391
9.999999999999963,-1.8318679906315083e-15,-296.3731621385754,0.9997928560820091,1.000100026276555
10.039999999999962,0.0019999999999981144,-309.9879057010063,1.0496291217874645,0.9713266323689419
10.079999999999961,0.003999999999998116,-323.3923350415059,1.1003715283684177,0.9420301269128956
10.11999999999996,0.005999999999998007,-336.51627503567806,1.151887460431375,0.9122870794778938
